"","EDUC","Region","N","perc"
"1","Bachelors","Midwest",233,0.217553688141923
"2","Bachelors","Northeast",87,0.235772357723577
"3","Bachelors","South",273,0.190376569037657
"4","Bachelors","West",125,0.206270627062706
"5","Masters","Midwest",105,0.0980392156862745
"6","Masters","Northeast",60,0.16260162601626
"7","Masters","South",158,0.110181311018131
"8","Masters","West",69,0.113861386138614
"9","Primary","Midwest",99,0.092436974789916
"10","Primary","Northeast",32,0.0867208672086721
"11","Primary","South",193,0.134588563458856
"12","Primary","West",65,0.107260726072607
"13","Professional","Midwest",133,0.124183006535948
"14","Professional","Northeast",40,0.10840108401084
"15","Professional","South",157,0.109483960948396
"16","Professional","West",67,0.110561056105611
"17","Secondary","Midwest",500,0.466853408029879
"18","Secondary","Northeast",149,0.403794037940379
"19","Secondary","South",651,0.45397489539749
"20","Secondary","West",280,0.462046204620462
"21",NA,"Midwest",1,0.000933706816059757
"22",NA,"Northeast",1,0.002710027100271
"23",NA,"South",2,0.00139470013947001
