"","Region","Race","N","perc"
"1","Midwest","Asian/Pacific Islander",30,0.0269541778975741
"2","Midwest","Black",97,0.087151841868823
"3","Midwest","Hispanic",83,0.0745732255166217
"4","Midwest","Other",43,0.0386343216531896
"5","Midwest","White",817,0.734052111410602
"6","Midwest",NA,43,0.0386343216531896
"7","Northeast","Asian/Pacific Islander",23,0.0594315245478036
"8","Northeast","Black",30,0.0775193798449612
"9","Northeast","Hispanic",32,0.082687338501292
"10","Northeast","Other",10,0.0258397932816537
"11","Northeast","White",270,0.697674418604651
"12","Northeast",NA,22,0.0568475452196382
"13","South","Asian/Pacific Islander",38,0.0252827677977379
"14","South","Black",318,0.211576846307385
"15","South","Hispanic",192,0.127744510978044
"16","South","Other",50,0.0332667997338656
"17","South","White",834,0.554890219560878
"18","South",NA,71,0.0472388556220892
"19","West","Asian/Pacific Islander",60,0.091324200913242
"20","West","Black",43,0.0654490106544901
"21","West","Hispanic",132,0.200913242009132
"22","West","Other",24,0.0365296803652968
"23","West","White",346,0.526636225266362
"24","West",NA,52,0.0791476407914764
